optimizer,data,step,filter1,filter2,accuracy,val_accuracy,precision,val_precision,recall,val_recall,tp,val_tp,tn,val_tn,fp,val_fp,fn,val_fn
fixed,normal,50,96,192,0.8866822719573975,0.8744186162948608,0.7891566157341003,0.8214285969734192,0.6787564754486084,0.5111111402511597,131.0,23.0,628.0,165.0,35.0,5.0,62.0,22.0
fixed,normal,100,96,192,0.9158878326416016,0.8837209343910217,0.8622754216194153,0.8333333134651184,0.7461140155792236,0.5555555820465088,144.0,25.0,640.0,165.0,23.0,5.0,49.0,20.0
fixed,normal,150,96,192,0.9193925261497498,0.8790697455406189,0.8690476417541504,0.7878788113594055,0.7564767003059387,0.5777778029441833,146.0,26.0,641.0,163.0,22.0,7.0,47.0,19.0
fixed,normal,200,96,192,0.9322429895401001,0.8883720636367798,0.9090909361839294,0.8888888955116272,0.7772020697593689,0.5333333611488342,150.0,24.0,648.0,167.0,15.0,3.0,43.0,21.0
fixed,normal,250,96,192,0.9357476830482483,0.8837209343910217,0.9156626462936401,0.9166666865348816,0.787564754486084,0.4888888895511627,152.0,22.0,649.0,168.0,14.0,2.0,41.0,23.0
fixed,normal,300,96,192,0.9427570104598999,0.8837209343910217,0.9285714030265808,0.9166666865348816,0.8082901835441589,0.4888888895511627,156.0,22.0,651.0,168.0,12.0,2.0,37.0,23.0
fixed,normal,50,96,256,0.8971962332725525,0.869767427444458,0.8343949317932129,0.707317054271698,0.6787564754486084,0.644444465637207,131.0,29.0,637.0,158.0,26.0,12.0,62.0,16.0
fixed,normal,100,96,256,0.913551390171051,0.8930232524871826,0.8742138147354126,0.8235294222831726,0.7202072739601135,0.6222222447395325,139.0,28.0,643.0,164.0,20.0,6.0,54.0,17.0
fixed,normal,150,96,256,0.9240654110908508,0.8976744413375854,0.8855421543121338,0.9259259104728699,0.7616580128669739,0.5555555820465088,147.0,25.0,644.0,168.0,19.0,2.0,46.0,20.0
fixed,normal,200,96,256,0.9264018535614014,0.9023255705833435,0.891566276550293,0.9615384340286255,0.7668393850326538,0.5555555820465088,148.0,25.0,645.0,169.0,18.0,1.0,45.0,20.0
fixed,normal,250,96,256,0.9392523169517517,0.9255813956260681,0.9325153231620789,0.939393937587738,0.787564754486084,0.6888889074325562,152.0,31.0,652.0,168.0,11.0,2.0,41.0,14.0
fixed,normal,300,96,256,0.9439252614974976,0.8930232524871826,0.9341317415237427,0.9583333134651184,0.8082901835441589,0.5111111402511597,156.0,23.0,652.0,169.0,11.0,1.0,37.0,22.0
gradual,weighted,50,48,128,0.8189252614974976,0.7581395506858826,0.5708954930305481,0.4556961953639984,0.7927461266517639,0.800000011920929,153.0,36.0,548.0,127.0,115.0,43.0,40.0,9.0
gradual,weighted,100,48,128,0.802570104598999,0.7581395506858826,0.5428571701049805,0.4556961953639984,0.787564754486084,0.800000011920929,152.0,36.0,535.0,127.0,128.0,43.0,41.0,9.0
gradual,weighted,150,48,128,0.8060747385025024,0.7581395506858826,0.5480427145957947,0.4556961953639984,0.7979274392127991,0.800000011920929,154.0,36.0,536.0,127.0,127.0,43.0,39.0,9.0
gradual,weighted,200,48,128,0.8037382960319519,0.7581395506858826,0.5454545617103577,0.4556961953639984,0.7772020697593689,0.800000011920929,150.0,36.0,538.0,127.0,125.0,43.0,43.0,9.0
gradual,weighted,250,48,128,0.8084112405776978,0.7581395506858826,0.553113579750061,0.4556961953639984,0.7823834419250488,0.800000011920929,151.0,36.0,541.0,127.0,122.0,43.0,42.0,9.0
gradual,weighted,300,48,128,0.8002336621284485,0.7581395506858826,0.5387324094772339,0.4556961953639984,0.7927461266517639,0.800000011920929,153.0,36.0,532.0,127.0,131.0,43.0,40.0,9.0
gradual,weighted,50,48,192,0.8329439163208008,0.7906976938247681,0.5946969985961914,0.5,0.8134714961051941,0.8222222328186035,157.0,37.0,556.0,133.0,107.0,37.0,36.0,8.0
gradual,weighted,100,48,192,0.8329439163208008,0.7906976938247681,0.5946969985961914,0.5,0.8134714961051941,0.8222222328186035,157.0,37.0,556.0,133.0,107.0,37.0,36.0,8.0
gradual,weighted,150,48,192,0.8329439163208008,0.7860465049743652,0.5939849615097046,0.4933333396911621,0.818652868270874,0.8222222328186035,158.0,37.0,555.0,132.0,108.0,38.0,35.0,8.0
gradual,weighted,200,48,192,0.836448609828949,0.7906976938247681,0.6000000238418579,0.5,0.8238341808319092,0.8222222328186035,159.0,37.0,557.0,133.0,106.0,37.0,34.0,8.0
gradual,weighted,250,48,192,0.8282710313796997,0.7860465049743652,0.5871211886405945,0.4933333396911621,0.803108811378479,0.8222222328186035,155.0,37.0,554.0,132.0,109.0,38.0,38.0,8.0
gradual,weighted,300,48,192,0.8282710313796997,0.7860465049743652,0.5864661931991577,0.4933333396911621,0.8082901835441589,0.8222222328186035,156.0,37.0,553.0,132.0,110.0,38.0,37.0,8.0
gradual,weighted,50,48,256,0.822429895401001,0.7860465049743652,0.5745454430580139,0.4931506812572479,0.818652868270874,0.800000011920929,158.0,36.0,546.0,133.0,117.0,37.0,35.0,9.0
gradual,weighted,100,48,256,0.8259345889091492,0.7860465049743652,0.5814814567565918,0.4931506812572479,0.8134714961051941,0.800000011920929,157.0,36.0,550.0,133.0,113.0,37.0,36.0,9.0
gradual,weighted,150,48,256,0.8212617039680481,0.7860465049743652,0.5729926824569702,0.4931506812572479,0.8134714961051941,0.800000011920929,157.0,36.0,546.0,133.0,117.0,37.0,36.0,9.0
gradual,weighted,200,48,256,0.8212617039680481,0.7860465049743652,0.5729926824569702,0.4931506812572479,0.8134714961051941,0.800000011920929,157.0,36.0,546.0,133.0,117.0,37.0,36.0,9.0
gradual,weighted,250,48,256,0.8189252614974976,0.7906976938247681,0.5698529481887817,0.5,0.803108811378479,0.800000011920929,155.0,36.0,546.0,134.0,117.0,36.0,38.0,9.0
gradual,weighted,300,48,256,0.8189252614974976,0.7860465049743652,0.5698529481887817,0.4931506812572479,0.803108811378479,0.800000011920929,155.0,36.0,546.0,133.0,117.0,37.0,38.0,9.0
gradual,weighted,50,64,128,0.8247663378715515,0.7906976938247681,0.5799256563186646,0.5,0.8082901835441589,0.7333333492279053,156.0,33.0,550.0,137.0,113.0,33.0,37.0,12.0
gradual,weighted,100,64,128,0.8294392228126526,0.7906976938247681,0.5907335877418518,0.5,0.7927461266517639,0.7333333492279053,153.0,33.0,557.0,137.0,106.0,33.0,40.0,12.0
gradual,weighted,150,64,128,0.8177570104598999,0.7906976938247681,0.5703421831130981,0.5,0.7772020697593689,0.7333333492279053,150.0,33.0,550.0,137.0,113.0,33.0,43.0,12.0
gradual,weighted,200,64,128,0.8259345889091492,0.7953488230705261,0.5846154093742371,0.5074626803398132,0.787564754486084,0.7555555701255798,152.0,34.0,555.0,137.0,108.0,33.0,41.0,11.0
gradual,weighted,250,64,128,0.8177570104598999,0.7906976938247681,0.5698113441467285,0.5,0.7823834419250488,0.7333333492279053,151.0,33.0,549.0,137.0,114.0,33.0,42.0,12.0
gradual,weighted,300,64,128,0.8189252614974976,0.7906976938247681,0.5719696879386902,0.5,0.7823834419250488,0.7333333492279053,151.0,33.0,550.0,137.0,113.0,33.0,42.0,12.0
gradual,weighted,50,64,192,0.8399532437324524,0.8418604731559753,0.6068702340126038,0.5901639461517334,0.8238341808319092,0.800000011920929,159.0,36.0,560.0,145.0,103.0,25.0,34.0,9.0
gradual,weighted,100,64,192,0.8469626307487488,0.8418604731559753,0.6201550364494324,0.5901639461517334,0.8290155529975891,0.800000011920929,160.0,36.0,565.0,145.0,98.0,25.0,33.0,9.0
gradual,weighted,150,64,192,0.8481308221817017,0.8418604731559753,0.6216216087341309,0.5901639461517334,0.8341968655586243,0.800000011920929,161.0,36.0,565.0,145.0,98.0,25.0,32.0,9.0
gradual,weighted,200,64,192,0.8329439163208008,0.8418604731559753,0.5912408828735352,0.5901639461517334,0.8393782377243042,0.800000011920929,162.0,36.0,551.0,145.0,112.0,25.0,31.0,9.0
gradual,weighted,250,64,192,0.8329439163208008,0.8418604731559753,0.5925925970077515,0.5901639461517334,0.8290155529975891,0.800000011920929,160.0,36.0,553.0,145.0,110.0,25.0,33.0,9.0
gradual,weighted,300,64,192,0.8434579372406006,0.8418604731559753,0.6104868650436401,0.5901639461517334,0.8445596098899841,0.800000011920929,163.0,36.0,559.0,145.0,104.0,25.0,30.0,9.0
gradual,weighted,50,64,256,0.8306074738502502,0.7953488230705261,0.5923076868057251,0.5079365372657776,0.7979274392127991,0.7111111283302307,154.0,32.0,557.0,139.0,106.0,31.0,39.0,13.0
